id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_19_forward,[source_system:倉庫システム] [source_table:] [source_field:BNACCAS] [source_description:内装ケース№],倉庫システム,,BNACCAS,内装ケース№,VEKP,EXIDV,外部荷役単位ID
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_19_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:EXIDV] [source_description:外部荷役単位ID],部品SAP,VEKP,EXIDV,外部荷役単位ID,,BNACCAS,内装ケース№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_20_forward,[source_system:倉庫システム] [source_table:] [source_field:SKOPGYU] [source_description:梱包重量],倉庫システム,,SKOPGYU,梱包重量,VEKP,BRGEW,荷役単位の総重量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_20_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:BRGEW] [source_description:荷役単位の総重量],部品SAP,VEKP,BRGEW,荷役単位の総重量,,SKOPGYU,梱包重量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_21_forward,[source_system:倉庫システム] [source_table:] [source_field:SYSK] [source_description:容積],倉庫システム,,SYSK,容積,VEKP,BTVOL,荷役単位の総容積
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_21_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:BTVOL] [source_description:荷役単位の総容積],部品SAP,VEKP,BTVOL,荷役単位の総容積,,SYSK,容積
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_22_forward,[source_system:倉庫システム] [source_table:] [source_field:XDIM] [source_description:ディメンション],倉庫システム,,XDIM,ディメンション,"VEKP
VEKP
VEKP","LAENG
BREIT
HOEHE","奥行
幅
高さ"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_22_backward,"[source_system:部品SAP] [source_table:VEKP
VEKP
VEKP] [source_field:LAENG
BREIT
HOEHE] [source_description:奥行
幅
高さ]",部品SAP,"VEKP
VEKP
VEKP","LAENG
BREIT
HOEHE","奥行
幅
高さ",,XDIM,ディメンション
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_23_forward,[source_system:倉庫システム] [source_table:] [source_field:BNSG] [source_description:荷姿],倉庫システム,,BNSG,荷姿,VEKP,VHILM,梱包材
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_23_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:VHILM] [source_description:梱包材],部品SAP,VEKP,VHILM,梱包材,,BNSG,荷姿
